iter	RMSE
0	0.3925606095
1	0.3839413897
2	0.3754967862
3	0.3676720695
4	0.3605462511
5	0.3535234775
6	0.3459080702
7	0.3387052829
8	0.3318654511
9	0.3263808229
10	0.3211358344
11	0.314556383
12	0.3085483783
13	0.3025474802
14	0.2976230733
15	0.2924770977
16	0.2874030861
17	0.2831423063
18	0.2778884079
19	0.273122302
20	0.268671069
21	0.2645017096
22	0.2606173683
23	0.2565411941
24	0.2523918755
25	0.2490177121
26	0.2459276145
27	0.2428863408
28	0.2393062469
29	0.2354475769
30	0.2323243144
31	0.2294827748
32	0.2269049124
33	0.2236625668
34	0.2202455015
35	0.2173205162
36	0.2146614419
37	0.2121448701
38	0.2097166689
39	0.2070225086
40	0.2049463356
41	0.2029525357
42	0.200448471
43	0.1985304805
44	0.1962858797
45	0.1941841076
46	0.191833731
47	0.1901454948
48	0.1880211368
49	0.1862180275
50	0.1844380926
51	0.1826005955
52	0.1812228792
53	0.1796632435
54	0.1780532781
55	0.1761621629
56	0.1743503812
57	0.1728959024
58	0.1713659209
59	0.1698314042
60	0.1686333737
61	0.167225257
62	0.1655885579
63	0.1645823373
64	0.1635170266
65	0.1622519426
66	0.1609351122
67	0.1597947692
68	0.1586003329
69	0.1571950797
70	0.1562839079
71	0.1553340088
72	0.1544906938
73	0.1536300827
74	0.152763715
75	0.1521970546
76	0.1514076207
77	0.1507016861
78	0.1500284486
79	0.1494398216
80	0.1487961628
81	0.1479407926
82	0.1470529773
83	0.1464186893
84	0.1456805882
85	0.1449581058
86	0.1442536655
87	0.1436129818
88	0.1429781479
89	0.1423532531
90	0.1417808127
91	0.1412603418
92	0.1406812752
93	0.1400851795
94	0.1395011644
95	0.1386507952
96	0.1380225334
97	0.1373207996
98	0.1367875659
99	0.1363589418
100	0.1357588155
101	0.135149568
102	0.1345959329
103	0.1340205411
104	0.133584985
105	0.1332200967
106	0.1328076595
107	0.1324369799
108	0.1320773906
109	0.1316655246
110	0.1312331861
111	0.1308251995
112	0.1303785525
113	0.1299618094
114	0.129472221
115	0.1291438969
116	0.128561271
117	0.1281192602
118	0.127757987
119	0.127265599
120	0.1269020205
121	0.1264376104
122	0.126152987
123	0.1256568031
124	0.1253259487
125	0.1250191772
126	0.1247027501
127	0.1244166257
128	0.1240680294
129	0.1238376584
130	0.1234870006
131	0.1229331132
132	0.1226284003
133	0.1222995873
134	0.1219278682
135	0.1216295535
136	0.1213027633
137	0.1210042314
138	0.1206212582
139	0.1203408879
140	0.1200604219
141	0.1197690823
142	0.119597704
143	0.1192447658
144	0.1189919858
145	0.1186286408
146	0.1184212585
147	0.1181359313
148	0.1178150781
149	0.1175462546
150	0.1171924082
151	0.1169313341
152	0.1166982002
153	0.1163414053
154	0.1161771549
155	0.1159674264
156	0.1157784552
157	0.1155559219
158	0.1152409733
159	0.1150281927
160	0.1147355818
161	0.1144510593
162	0.1140735322
163	0.1137358198
164	0.1135146345
165	0.1132345007
166	0.1130027885
167	0.1128643289
168	0.1126251359
169	0.11247387
170	0.1124112018
