iter	Passed	Remaining
0	1	1908
1	4	2074
2	6	2158
3	8	2199
4	11	2222
5	13	2188
6	15	2260
7	18	2281
8	20	2267
9	22	2248
10	25	2257
11	27	2265
12	30	2306
13	33	2357
14	36	2386
15	38	2374
16	40	2370
17	43	2356
18	45	2343
19	47	2345
20	50	2353
21	53	2370
22	56	2394
23	59	2413
24	62	2438
25	65	2461
26	68	2458
27	70	2449
28	73	2453
29	75	2437
30	78	2459
31	81	2454
32	83	2445
33	85	2432
34	87	2417
35	89	2408
36	92	2403
37	94	2399
38	97	2391
39	99	2382
40	101	2373
41	103	2365
42	106	2362
43	108	2355
44	110	2354
45	113	2349
46	115	2343
47	117	2336
48	120	2330
49	122	2325
50	124	2319
51	127	2316
52	129	2311
53	131	2305
54	133	2299
55	136	2293
56	138	2292
57	141	2290
58	143	2290
59	145	2287
60	148	2281
61	150	2279
62	152	2274
63	155	2270
64	157	2270
65	160	2268
66	162	2263
67	164	2258
68	166	2253
69	169	2249
70	171	2246
71	174	2246
72	177	2250
73	179	2245
74	181	2244
75	184	2240
76	186	2237
77	189	2236
78	191	2237
79	194	2240
80	197	2236
81	199	2233
82	201	2228
83	203	2224
84	206	2222
85	208	2219
86	211	2216
87	213	2212
88	215	2207
89	217	2203
90	220	2199
91	222	2200
92	225	2195
93	227	2196
94	230	2194
95	232	2191
96	234	2187
97	237	2190
98	240	2186
99	242	2183
100	244	2179
101	247	2175
102	249	2170
103	251	2166
104	253	2163
105	256	2161
106	258	2156
107	260	2152
108	262	2148
109	265	2145
110	267	2143
111	270	2142
112	272	2141
113	275	2140
114	278	2140
115	280	2136
116	282	2132
117	285	2132
118	287	2129
119	289	2125
120	292	2121
121	294	2118
122	296	2115
123	298	2111
124	301	2111
125	303	2105
126	305	2101
127	307	2097
128	310	2093
129	312	2089
130	314	2086
131	316	2084
132	319	2081
133	321	2077
134	323	2073
135	325	2070
136	328	2067
137	330	2066
138	333	2065
139	335	2062
140	338	2059
141	340	2056
142	342	2052
143	344	2049
144	347	2047
145	349	2046
146	352	2043
147	354	2040
148	356	2037
149	359	2034
150	361	2030
151	363	2028
152	366	2026
153	368	2022
154	371	2023
155	373	2020
156	375	2016
157	377	2013
158	380	2011
159	382	2008
160	385	2006
161	387	2003
162	389	2000
163	392	1998
164	394	1996
165	397	1995
166	399	1992
167	401	1989
168	404	1986
169	406	1984
170	408	1981
171	411	1979
172	413	1977
173	415	1974
174	418	1972
175	420	1969
176	422	1966
177	425	1962
178	427	1961
179	430	1958
180	432	1955
181	434	1954
182	437	1952
183	439	1949
184	441	1946
185	444	1944
186	446	1942
187	449	1941
188	452	1941
189	455	1940
190	457	1938
191	460	1938
192	463	1938
193	466	1938
194	469	1937
195	472	1938
196	475	1938
197	478	1938
198	481	1936
199	483	1935
200	486	1932
201	488	1931
202	491	1929
203	494	1928
204	496	1926
205	499	1923
206	501	1920
207	503	1917
208	506	1915
209	509	1915
210	511	1913
211	514	1911
212	516	1909
213	519	1906
214	521	1903
215	524	1905
216	527	1902
217	529	1899
218	532	1897
219	534	1896
220	537	1895
221	540	1895
222	543	1893
223	545	1891
224	548	1889
225	551	1887
226	553	1885
227	556	1883
228	558	1881
229	561	1879
230	563	1876
231	565	1873
232	568	1870
233	571	1869
234	573	1866
235	575	1863
236	578	1860
237	580	1858
238	582	1855
239	585	1852
240	587	1850
241	589	1847
242	592	1844
243	594	1841
244	596	1838
245	599	1835
246	601	1833
247	603	1830
248	606	1828
249	608	1825
250	610	1822
251	612	1819
252	615	1816
253	617	1813
254	619	1811
255	622	1808
256	624	1805
257	626	1802
258	629	1799
259	631	1796
260	633	1793
261	636	1791
262	638	1789
263	640	1786
264	643	1783
265	645	1781
266	647	1777
267	650	1775
268	652	1773
269	654	1770
270	657	1767
271	659	1764
272	662	1763
273	665	1763
274	667	1760
275	670	1758
276	672	1755
277	674	1752
278	676	1749
279	679	1746
280	681	1743
281	683	1740
282	685	1737
283	688	1734
284	690	1731
285	692	1728
286	694	1726
287	697	1723
288	699	1721
289	702	1718
290	704	1716
291	706	1712
292	708	1710
293	711	1708
294	714	1707
295	716	1704
296	719	1702
297	721	1700
298	723	1697
299	726	1694
300	728	1691
301	730	1689
302	733	1687
303	735	1684
304	738	1681
305	740	1679
306	743	1677
307	746	1676
308	748	1674
309	752	1674
310	755	1673
311	757	1670
312	760	1669
313	763	1668
314	766	1665
315	768	1664
316	771	1661
317	773	1659
318	776	1658
319	779	1657
320	782	1655
321	785	1653
322	787	1650
323	789	1648
324	793	1647
325	796	1646
326	798	1644
327	801	1641
328	803	1639
329	806	1637
330	809	1635
331	811	1633
332	814	1630
333	816	1628
334	819	1626
335	822	1625
336	825	1623
337	827	1621
338	830	1618
339	832	1616
340	835	1614
341	837	1611
342	840	1610
343	843	1608
344	845	1605
345	848	1603
346	850	1600
347	853	1598
348	855	1596
349	859	1595
350	861	1593
351	864	1590
352	866	1588
353	868	1585
354	871	1583
355	874	1581
356	878	1581
357	881	1580
358	884	1579
359	887	1578
360	891	1577
361	895	1578
362	898	1576
363	901	1575
364	905	1575
365	908	1573
366	911	1572
367	914	1570
368	917	1568
